playlist_title,playlist_ID,video_title,video_ids,video_published
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,카이피리냐 만들기 #Shorts,QLsUN-1gDC8,2021-07-15T11:32:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🥃 올드패션드 네가지 만들기,olduOPRWUQM,2021-07-14T12:07:59Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,주류박람회에 다녀 왔어요,gzv8fo55HNk,2021-07-06T11:25:54Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,취향존중이 필요한 칵테일 #2,3eGUAtOvdOc,2021-06-26T12:06:26Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🥂화이트와인으로 네가지 칵테일 만들기!,uC1JI2yJyQI,2021-05-30T13:09:59Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,헤이먼스 진 4종 리뷰 / 이달의 술추천 #9,xH7yOILktZk,2021-05-13T08:59:24Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,내 MBTI 성격유형에 맞는 칵테일 찾기!,eiyEbeZgqmE,2021-04-15T09:32:10Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,예쁜 얼음 얼리기 / 얼음 영상 #2,pKe8EflrJwI,2021-04-09T12:21:33Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술 + 쉬이이이원한 탄산은 못참지 (with 싱하소다워터),WQjnhpVMe54,2021-03-31T10:38:07Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,촬영 전날 조용히 칵테일 만들어보는 영상 / 더빙x,RUm6MDFu470,2021-03-23T14:09:33Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,피스코 / 이달의 술추천 #8,duNq0mNNwAc,2021-03-14T08:00:56Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,위스키 입문용으로 강추! 글렌리벳 12년 / 함께 알아보는 위스키 #1,BiLHoo2sgSE,2021-03-06T10:25:57Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,맛있는 안주와 술🤤 / 집에서 해먹은 술 모음 #9,lAk5yD1MUqE,2021-02-26T13:57:14Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🍓 딸기를 잔뜩 마시자! / 딸기 칵테일 5가지,ixsAYP7B3xM,2021-02-24T14:31:07Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,칵테일 만들 때 자주 쓰는 잔들을 소개합니다!,nLdDkg0NDxY,2021-02-17T12:56:27Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,라거? 에일? 내 최애 맥주는? / 와인앤모어 맥주 리뷰 #1,NvTN0xkWlEc,2021-02-12T12:39:37Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,화요로 만드는 네가지 간단칵테일!,5Ms57bZPqcM,2021-02-09T11:00:42Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술...그리고 안주..⭐️ / 집에서 해먹은 술 모음 #8,1KpesGaUzaM,2021-02-07T09:20:28Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새로운 싱글톤으로 두 가지 칵테일 만들기! / 색다른 안주와 함께 즐기자,JGde_Ufv_qI,2021-02-05T08:35:33Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,사워 특집 / 네 가지 사워 만들기,TsQR5MX7woE,2021-01-29T11:28:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,Gs25 나만의 냉장고 어플 리뷰 / 어플로 술 주문하기,r2aSLzsesEU,2021-01-25T10:54:24Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,열 가지 진을 알아보자 / 진 10종 리뷰,j1qM2ogJWrs,2021-01-21T14:57:39Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,피즈 특집 / 여섯 가지 피즈 만들기!,azQ89nKo-rE,2021-01-18T14:35:14Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새해 7일7술 / 집에서 해먹은 술 모음 #7,dNlHGKjWWZU,2021-01-14T14:16:40Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,칵테일 하나에 재료 10개... 냉장고를 털어버리자!,KenoHursSes,2020-11-12T14:10:40Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,캄파리 특집 / 캄파리로 다섯 가지 칵테일 만들기,0kkredqf4aY,2020-10-14T12:21:49Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,오랜만에 와인 마신 날!🍷 / 이달의 술추천 #7,WELbqdkqFxY,2020-10-09T13:34:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,다들 연휴 잘 보내셨나요? / 여름 마지막 7일7술 / 집에서 해먹은 술 모음 #6,Yo1IhbQdN90,2020-10-04T14:41:18Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"부드러움의 끝판왕, 계란 흰자가 들어가는 칵테일 만들기",J09reqatUY4,2020-09-28T10:57:45Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🍷칵테일과 함께 집에서 홈파티!🍷 / Shakit x RiniBini #2,PyCIpgqmeM0,2020-09-23T18:24:53Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,슬로 진 특집(비니의 추천),h8rDZNB8pr0,2020-09-12T23:08:04Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,빈 병으로 컵 만들고 그 컵에 칵테일 만들기,5vnCRg83p2w,2020-09-08T13:14:08Z
