video_title,video_ids,commentCount,viewCount,favoriteCount,likeCount
"부드러움의 끝판왕, 계란 흰자가 들어가는 칵테일 만들기",J09reqatUY4,59,12718,0,318
🍷칵테일과 함께 집에서 홈파티!🍷 / Shakit x RiniBini #2,PyCIpgqmeM0,28,6466,0,211
슬로 진 특집(비니의 추천),h8rDZNB8pr0,62,14233,0,386
빈 병으로 컵 만들고 그 컵에 칵테일 만들기,5vnCRg83p2w,58,11324,0,329
마트에서 보자마자 질러버린 술.. / 이달의 술추천 #6,WWndLp9SiNw,74,16964,0,411
취향 존중이 필요한 칵테일 4선,bmawWeWFaEE,94,14208,0,419
요즘 너무 덥죠? 칵테일 한 잔 합시다 / 집에서 해먹은 술 모음 #5 / 7일 7술,n8qYgQKxv4E,87,8948,0,273
"혼자서 마시는 상황별 칵테일 / 비 오는 날, 휴일, 더운 밤, 잠 안 오는 새벽, 영화볼 때",DCW_eG0SKTU,51,12083,0,367
갬성을 자극하는 핑크색 칵테일 만들기..🌸,2Y1UIKmieRU,74,24364,0,745
더운 날 만들어 먹은 안주 모음 / 안주 만드는 영상 #3,flaCIDq3SwQ,62,6331,0,172
☔️비오는 날 전과 함께 전통주 / 이달의 술추천 #5,4F7OKLLh05k,23,2103,0,96
먹으면서 보낸 휴가 일상 (feat.고양이 자랑),PIL_c4b2_CU,33,3740,0,159
"🌱티 칵테일 만들기 / 홍차, 녹차, 히비스커스 티",pMZHfgP9ErY,57,12739,0,515
칵테일 키트 들고 피크닉가기🌼 / Shakit X RiniBini,9sMKQWJFcBI,55,8630,0,368
여름엔 달달술과 달달안주 / 이달의 술추천 #4,lm1dlq9b8sI,32,6429,0,220
맛있는 리큐르로 간단한 칵테일 만들기 / 리큐르추천#2,9Zw_ViTTU7Y,59,20852,0,483
바로 그 코코넛 칵테일🍍 / 코코넛밀크 칵테일 만들기,X3DfaISAycc,55,13255,0,337
"더운 여름, 시원한 모히토 한잔 하쉴~?🌱/ 네 가지 모히토 만들기",sms8F1djTXQ,76,23057,0,610
시험기간에도 술 못 잃는 사람 / 집에서 해먹은 술 모음 #4,4Pqm1KgYtXU,89,5626,0,205
바나나 리큐르로 만든 맛있는 칵테일.......은 없었다고 한다 / 바나나 리큐르 활용하기,u4BMxqw-AIk,91,9075,0,223
카시스 + 우롱차 + 볶음요리 = 짱맛탱 / 이달의 술추천 #3,1T-iDBsKohY,63,5170,0,229
더워지니까 술이 더 마시고 싶어요 / 집에서 해먹은 술 모음 #3,CCKd85lojPo,59,6618,0,248
바다 가고 싶다..🐳/ 바다 느낌 칵테일,QLsUN-1gDC8,104,49199,0,1300
🍉보기만 해도 여름 느낌나는 트로피컬 칵테일🍍,olduOPRWUQM,109,28783,0,853
🌸리치 리큐르 콰이페로 칵테일 만들기🌸,gzv8fo55HNk,78,16171,0,491
만들어 먹은 안주모음! / 안주 만드는 영상 #2,3eGUAtOvdOc,62,8986,0,294
혹시 지금 술 마시고 있는 사람..? 그건 바로 ㄴr... / 집에서 해먹은 술 모음 #2,uC1JI2yJyQI,81,6073,0,217
집에 있는 꿀.유자.밤으로 맛있는 칵테일 만들기😎,xH7yOILktZk,47,6649,0,284
최애 맥주&안주 추천!!!!! / 이달의 술추천 #2,eiyEbeZgqmE,64,5224,0,207
소주로 칵테일 만들기,pKe8EflrJwI,105,44247,0,1087
방콕하며 연명하기 위한 반찬 만들기,WQjnhpVMe54,37,3068,0,125
데킬라 맛있게 먹는법! / 데킬라로 다섯 가지 칵테일 만들기🍸,RUm6MDFu470,211,75041,0,1458
얼음 깎는 노인,duNq0mNNwAc,127,25866,0,697
나는 오늘도 술을 ㅁㅏ신ㄷr...⭐️/ 집에서 해먹은 술 모음 #1,BiLHoo2sgSE,168,9742,0,340
침샘 자극하는 오늘의 향💖달큰한 시나몬 향 츄러스 칵테일(Churros) / 리니비니 X 데메테르 #2,lAk5yD1MUqE,227,5051,0,221
술마신 다음날 술로 해장한다!!! 해장 칵테일 만들기,ixsAYP7B3xM,92,10953,0,334
자주 해먹는 안주 모음! / 안주 만드는 영상#1,nLdDkg0NDxY,86,10444,0,419
라거? 에일? 내 최애 맥주는? / 와인앤모어 맥주 리뷰 #1,NvTN0xkWlEc,42,4220,0,158
화요로 만드는 네가지 간단칵테일!,5Ms57bZPqcM,95,19399,0,496
술...그리고 안주..⭐️ / 집에서 해먹은 술 모음 #8,1KpesGaUzaM,143,11252,0,330
새로운 싱글톤으로 두 가지 칵테일 만들기! / 색다른 안주와 함께 즐기자,JGde_Ufv_qI,56,7841,0,217
사워 특집 / 네 가지 사워 만들기,TsQR5MX7woE,92,10094,0,317
Gs25 나만의 냉장고 어플 리뷰 / 어플로 술 주문하기,r2aSLzsesEU,172,11212,0,300
열 가지 진을 알아보자 / 진 10종 리뷰,j1qM2ogJWrs,238,28230,0,789
피즈 특집 / 여섯 가지 피즈 만들기!,azQ89nKo-rE,159,17805,0,520
새해 7일7술 / 집에서 해먹은 술 모음 #7,dNlHGKjWWZU,186,15286,0,554
칵테일 하나에 재료 10개... 냉장고를 털어버리자!,KenoHursSes,121,14032,0,461
캄파리 특집 / 캄파리로 다섯 가지 칵테일 만들기,0kkredqf4aY,72,18750,0,475
오랜만에 와인 마신 날!🍷 / 이달의 술추천 #7,WELbqdkqFxY,39,4566,0,195
다들 연휴 잘 보내셨나요? / 여름 마지막 7일7술 / 집에서 해먹은 술 모음 #6,Yo1IhbQdN90,71,8108,0,262
"부드러움의 끝판왕, 계란 흰자가 들어가는 칵테일 만들기",J09reqatUY4,59,12718,0,318
🍷칵테일과 함께 집에서 홈파티!🍷 / Shakit x RiniBini #2,PyCIpgqmeM0,28,6466,0,211
슬로 진 특집(비니의 추천),h8rDZNB8pr0,62,14233,0,386
빈 병으로 컵 만들고 그 컵에 칵테일 만들기,5vnCRg83p2w,58,11324,0,329
마트에서 보자마자 질러버린 술.. / 이달의 술추천 #6,WWndLp9SiNw,74,16964,0,411
취향 존중이 필요한 칵테일 4선,bmawWeWFaEE,94,14208,0,419
요즘 너무 덥죠? 칵테일 한 잔 합시다 / 집에서 해먹은 술 모음 #5 / 7일 7술,n8qYgQKxv4E,87,8948,0,273
"혼자서 마시는 상황별 칵테일 / 비 오는 날, 휴일, 더운 밤, 잠 안 오는 새벽, 영화볼 때",DCW_eG0SKTU,51,12083,0,367
갬성을 자극하는 핑크색 칵테일 만들기..🌸,2Y1UIKmieRU,74,24364,0,745
더운 날 만들어 먹은 안주 모음 / 안주 만드는 영상 #3,flaCIDq3SwQ,62,6331,0,172
☔️비오는 날 전과 함께 전통주 / 이달의 술추천 #5,4F7OKLLh05k,23,2103,0,96
먹으면서 보낸 휴가 일상 (feat.고양이 자랑),PIL_c4b2_CU,33,3740,0,159
"🌱티 칵테일 만들기 / 홍차, 녹차, 히비스커스 티",pMZHfgP9ErY,57,12739,0,515
칵테일 키트 들고 피크닉가기🌼 / Shakit X RiniBini,9sMKQWJFcBI,55,8630,0,368
여름엔 달달술과 달달안주 / 이달의 술추천 #4,lm1dlq9b8sI,32,6429,0,220
맛있는 리큐르로 간단한 칵테일 만들기 / 리큐르추천#2,9Zw_ViTTU7Y,59,20852,0,483
바로 그 코코넛 칵테일🍍 / 코코넛밀크 칵테일 만들기,X3DfaISAycc,55,13255,0,337
"더운 여름, 시원한 모히토 한잔 하쉴~?🌱/ 네 가지 모히토 만들기",sms8F1djTXQ,76,23057,0,610
시험기간에도 술 못 잃는 사람 / 집에서 해먹은 술 모음 #4,4Pqm1KgYtXU,89,5626,0,205
바나나 리큐르로 만든 맛있는 칵테일.......은 없었다고 한다 / 바나나 리큐르 활용하기,u4BMxqw-AIk,91,9075,0,223
카시스 + 우롱차 + 볶음요리 = 짱맛탱 / 이달의 술추천 #3,1T-iDBsKohY,63,5170,0,229
더워지니까 술이 더 마시고 싶어요 / 집에서 해먹은 술 모음 #3,CCKd85lojPo,59,6618,0,248
바다 가고 싶다..🐳/ 바다 느낌 칵테일,QLsUN-1gDC8,104,49199,0,1300
🍉보기만 해도 여름 느낌나는 트로피컬 칵테일🍍,olduOPRWUQM,109,28783,0,853
🌸리치 리큐르 콰이페로 칵테일 만들기🌸,gzv8fo55HNk,78,16171,0,491
만들어 먹은 안주모음! / 안주 만드는 영상 #2,3eGUAtOvdOc,62,8986,0,294
혹시 지금 술 마시고 있는 사람..? 그건 바로 ㄴr... / 집에서 해먹은 술 모음 #2,uC1JI2yJyQI,81,6073,0,217
집에 있는 꿀.유자.밤으로 맛있는 칵테일 만들기😎,xH7yOILktZk,47,6649,0,284
최애 맥주&안주 추천!!!!! / 이달의 술추천 #2,eiyEbeZgqmE,64,5224,0,207
소주로 칵테일 만들기,pKe8EflrJwI,105,44247,0,1087
방콕하며 연명하기 위한 반찬 만들기,WQjnhpVMe54,37,3068,0,125
데킬라 맛있게 먹는법! / 데킬라로 다섯 가지 칵테일 만들기🍸,RUm6MDFu470,211,75041,0,1458
얼음 깎는 노인,duNq0mNNwAc,127,25866,0,697
나는 오늘도 술을 ㅁㅏ신ㄷr...⭐️/ 집에서 해먹은 술 모음 #1,BiLHoo2sgSE,168,9742,0,340
침샘 자극하는 오늘의 향💖달큰한 시나몬 향 츄러스 칵테일(Churros) / 리니비니 X 데메테르 #2,lAk5yD1MUqE,227,5051,0,221
술마신 다음날 술로 해장한다!!! 해장 칵테일 만들기,ixsAYP7B3xM,92,10953,0,334
자주 해먹는 안주 모음! / 안주 만드는 영상#1,nLdDkg0NDxY,86,10444,0,419
한 잔으로 취해버리고 싶다면? 독한 칵테일 만들기👍,NvTN0xkWlEc,166,36703,0,850
[옥탑방 일상] 집에서 만드는 칵테일 재료들!,5Ms57bZPqcM,78,5819,0,258
