video_title,video_ids,text_display,like_count
"혼자서 마시는 상황별 칵테일 / 비 오는 날, 휴일, 더운 밤, 잠 안 오는 새벽, 영화볼 때",DCW_eG0SKTU,disabled comments,0
갬성을 자극하는 핑크색 칵테일 만들기..🌸,2Y1UIKmieRU,disabled comments,0
더운 날 만들어 먹은 안주 모음 / 안주 만드는 영상 #3,flaCIDq3SwQ,disabled comments,0
☔️비오는 날 전과 함께 전통주 / 이달의 술추천 #5,4F7OKLLh05k,disabled comments,0
먹으면서 보낸 휴가 일상 (feat.고양이 자랑),PIL_c4b2_CU,disabled comments,0
"🌱티 칵테일 만들기 / 홍차, 녹차, 히비스커스 티",pMZHfgP9ErY,disabled comments,0
칵테일 키트 들고 피크닉가기🌼 / Shakit X RiniBini,9sMKQWJFcBI,disabled comments,0
여름엔 달달술과 달달안주 / 이달의 술추천 #4,lm1dlq9b8sI,disabled comments,0
맛있는 리큐르로 간단한 칵테일 만들기 / 리큐르추천#2,9Zw_ViTTU7Y,disabled comments,0
바로 그 코코넛 칵테일🍍 / 코코넛밀크 칵테일 만들기,X3DfaISAycc,disabled comments,0
"더운 여름, 시원한 모히토 한잔 하쉴~?🌱/ 네 가지 모히토 만들기",sms8F1djTXQ,disabled comments,0
시험기간에도 술 못 잃는 사람 / 집에서 해먹은 술 모음 #4,4Pqm1KgYtXU,disabled comments,0
바나나 리큐르로 만든 맛있는 칵테일.......은 없었다고 한다 / 바나나 리큐르 활용하기,u4BMxqw-AIk,disabled comments,0
카시스 + 우롱차 + 볶음요리 = 짱맛탱 / 이달의 술추천 #3,1T-iDBsKohY,disabled comments,0
더워지니까 술이 더 마시고 싶어요 / 집에서 해먹은 술 모음 #3,CCKd85lojPo,disabled comments,0
바다 가고 싶다..🐳/ 바다 느낌 칵테일,QLsUN-1gDC8,disabled comments,0
🍉보기만 해도 여름 느낌나는 트로피컬 칵테일🍍,olduOPRWUQM,disabled comments,0
🌸리치 리큐르 콰이페로 칵테일 만들기🌸,gzv8fo55HNk,disabled comments,0
만들어 먹은 안주모음! / 안주 만드는 영상 #2,3eGUAtOvdOc,disabled comments,0
혹시 지금 술 마시고 있는 사람..? 그건 바로 ㄴr... / 집에서 해먹은 술 모음 #2,uC1JI2yJyQI,disabled comments,0
집에 있는 꿀.유자.밤으로 맛있는 칵테일 만들기😎,xH7yOILktZk,disabled comments,0
최애 맥주&안주 추천!!!!! / 이달의 술추천 #2,eiyEbeZgqmE,disabled comments,0
소주로 칵테일 만들기,pKe8EflrJwI,disabled comments,0
방콕하며 연명하기 위한 반찬 만들기,WQjnhpVMe54,disabled comments,0
데킬라 맛있게 먹는법! / 데킬라로 다섯 가지 칵테일 만들기🍸,RUm6MDFu470,disabled comments,0
얼음 깎는 노인,duNq0mNNwAc,disabled comments,0
나는 오늘도 술을 ㅁㅏ신ㄷr...⭐️/ 집에서 해먹은 술 모음 #1,BiLHoo2sgSE,disabled comments,0
침샘 자극하는 오늘의 향💖달큰한 시나몬 향 츄러스 칵테일(Churros) / 리니비니 X 데메테르 #2,lAk5yD1MUqE,disabled comments,0
술마신 다음날 술로 해장한다!!! 해장 칵테일 만들기,ixsAYP7B3xM,disabled comments,0
자주 해먹는 안주 모음! / 안주 만드는 영상#1,nLdDkg0NDxY,disabled comments,0
라거? 에일? 내 최애 맥주는? / 와인앤모어 맥주 리뷰 #1,NvTN0xkWlEc,disabled comments,0
화요로 만드는 네가지 간단칵테일!,5Ms57bZPqcM,disabled comments,0
술...그리고 안주..⭐️ / 집에서 해먹은 술 모음 #8,1KpesGaUzaM,disabled comments,0
새로운 싱글톤으로 두 가지 칵테일 만들기! / 색다른 안주와 함께 즐기자,JGde_Ufv_qI,disabled comments,0
사워 특집 / 네 가지 사워 만들기,TsQR5MX7woE,disabled comments,0
Gs25 나만의 냉장고 어플 리뷰 / 어플로 술 주문하기,r2aSLzsesEU,disabled comments,0
열 가지 진을 알아보자 / 진 10종 리뷰,j1qM2ogJWrs,disabled comments,0
피즈 특집 / 여섯 가지 피즈 만들기!,azQ89nKo-rE,disabled comments,0
새해 7일7술 / 집에서 해먹은 술 모음 #7,dNlHGKjWWZU,disabled comments,0
칵테일 하나에 재료 10개... 냉장고를 털어버리자!,KenoHursSes,disabled comments,0
캄파리 특집 / 캄파리로 다섯 가지 칵테일 만들기,0kkredqf4aY,disabled comments,0
오랜만에 와인 마신 날!🍷 / 이달의 술추천 #7,WELbqdkqFxY,disabled comments,0
다들 연휴 잘 보내셨나요? / 여름 마지막 7일7술 / 집에서 해먹은 술 모음 #6,Yo1IhbQdN90,disabled comments,0
"부드러움의 끝판왕, 계란 흰자가 들어가는 칵테일 만들기",J09reqatUY4,disabled comments,0
🍷칵테일과 함께 집에서 홈파티!🍷 / Shakit x RiniBini #2,PyCIpgqmeM0,disabled comments,0
슬로 진 특집(비니의 추천),h8rDZNB8pr0,disabled comments,0
빈 병으로 컵 만들고 그 컵에 칵테일 만들기,5vnCRg83p2w,disabled comments,0
마트에서 보자마자 질러버린 술.. / 이달의 술추천 #6,WWndLp9SiNw,disabled comments,0
취향 존중이 필요한 칵테일 4선,bmawWeWFaEE,disabled comments,0
요즘 너무 덥죠? 칵테일 한 잔 합시다 / 집에서 해먹은 술 모음 #5 / 7일 7술,n8qYgQKxv4E,disabled comments,0
"혼자서 마시는 상황별 칵테일 / 비 오는 날, 휴일, 더운 밤, 잠 안 오는 새벽, 영화볼 때",DCW_eG0SKTU,disabled comments,0
갬성을 자극하는 핑크색 칵테일 만들기..🌸,2Y1UIKmieRU,disabled comments,0
더운 날 만들어 먹은 안주 모음 / 안주 만드는 영상 #3,flaCIDq3SwQ,disabled comments,0
☔️비오는 날 전과 함께 전통주 / 이달의 술추천 #5,4F7OKLLh05k,disabled comments,0
먹으면서 보낸 휴가 일상 (feat.고양이 자랑),PIL_c4b2_CU,disabled comments,0
"🌱티 칵테일 만들기 / 홍차, 녹차, 히비스커스 티",pMZHfgP9ErY,disabled comments,0
칵테일 키트 들고 피크닉가기🌼 / Shakit X RiniBini,9sMKQWJFcBI,disabled comments,0
여름엔 달달술과 달달안주 / 이달의 술추천 #4,lm1dlq9b8sI,disabled comments,0
맛있는 리큐르로 간단한 칵테일 만들기 / 리큐르추천#2,9Zw_ViTTU7Y,disabled comments,0
바로 그 코코넛 칵테일🍍 / 코코넛밀크 칵테일 만들기,X3DfaISAycc,disabled comments,0
"더운 여름, 시원한 모히토 한잔 하쉴~?🌱/ 네 가지 모히토 만들기",sms8F1djTXQ,disabled comments,0
시험기간에도 술 못 잃는 사람 / 집에서 해먹은 술 모음 #4,4Pqm1KgYtXU,disabled comments,0
바나나 리큐르로 만든 맛있는 칵테일.......은 없었다고 한다 / 바나나 리큐르 활용하기,u4BMxqw-AIk,disabled comments,0
카시스 + 우롱차 + 볶음요리 = 짱맛탱 / 이달의 술추천 #3,1T-iDBsKohY,disabled comments,0
더워지니까 술이 더 마시고 싶어요 / 집에서 해먹은 술 모음 #3,CCKd85lojPo,disabled comments,0
바다 가고 싶다..🐳/ 바다 느낌 칵테일,QLsUN-1gDC8,disabled comments,0
🍉보기만 해도 여름 느낌나는 트로피컬 칵테일🍍,olduOPRWUQM,disabled comments,0
🌸리치 리큐르 콰이페로 칵테일 만들기🌸,gzv8fo55HNk,disabled comments,0
만들어 먹은 안주모음! / 안주 만드는 영상 #2,3eGUAtOvdOc,disabled comments,0
혹시 지금 술 마시고 있는 사람..? 그건 바로 ㄴr... / 집에서 해먹은 술 모음 #2,uC1JI2yJyQI,disabled comments,0
집에 있는 꿀.유자.밤으로 맛있는 칵테일 만들기😎,xH7yOILktZk,disabled comments,0
최애 맥주&안주 추천!!!!! / 이달의 술추천 #2,eiyEbeZgqmE,disabled comments,0
소주로 칵테일 만들기,pKe8EflrJwI,disabled comments,0
방콕하며 연명하기 위한 반찬 만들기,WQjnhpVMe54,disabled comments,0
데킬라 맛있게 먹는법! / 데킬라로 다섯 가지 칵테일 만들기🍸,RUm6MDFu470,disabled comments,0
얼음 깎는 노인,duNq0mNNwAc,disabled comments,0
나는 오늘도 술을 ㅁㅏ신ㄷr...⭐️/ 집에서 해먹은 술 모음 #1,BiLHoo2sgSE,disabled comments,0
침샘 자극하는 오늘의 향💖달큰한 시나몬 향 츄러스 칵테일(Churros) / 리니비니 X 데메테르 #2,lAk5yD1MUqE,disabled comments,0
술마신 다음날 술로 해장한다!!! 해장 칵테일 만들기,ixsAYP7B3xM,disabled comments,0
자주 해먹는 안주 모음! / 안주 만드는 영상#1,nLdDkg0NDxY,disabled comments,0
한 잔으로 취해버리고 싶다면? 독한 칵테일 만들기👍,NvTN0xkWlEc,disabled comments,0
[옥탑방 일상] 집에서 만드는 칵테일 재료들!,5Ms57bZPqcM,disabled comments,0
🌊칵테일 가서 데메테르 한 잔? (카리브해 편)🐳 / 리니비니 X 데메테르 #1,1KpesGaUzaM,disabled comments,0
브라질의 국민술! 카샤사 & 카이피리냐 / 이달의 술추천 #1,JGde_Ufv_qI,disabled comments,0
오늘만은 술 못 먹는 자에게 빙의한다!! 논알콜 칵테일 만들기,TsQR5MX7woE,disabled comments,0
럼 하나로 만드는 칵테일 / 간단한 럼 베이스 칵테일🍸,r2aSLzsesEU,disabled comments,0
롱티 좋아하는 사람들 모여!!! 롱 아일랜드 아이스티 변형 칵테일 만들기,j1qM2ogJWrs,disabled comments,0
화제의 웹드라마 엑스엑스(XX) 집에서 따라해보기,azQ89nKo-rE,disabled comments,0
술을 사랑하는 자들의 Q&A,dNlHGKjWWZU,disabled comments,0
칵테일의 재료에는 무엇이 있을까?🧐/ 기주&음료&부재료&가니쉬 알기,KenoHursSes,disabled comments,0
